Date,Negara,Jumlah_Ekspor,Harga_Internasional,Dummy_COVID
2012,Jepang,"35,068.20","3,558.90",0
2013,Jepang,"37,711.50","3,225.10",0
2014,Jepang,"35,579.30","2,593.50",0
2015,Jepang,"32,503.50","2,033.70",0
2016,Jepang,"33,037.80","1,980.10",0
2017,Jepang,"31,421.40","2,505.90",0
2018,Jepang,"28,722.90","2,786.90",0
2019,Jepang,"28,436.40","2,333.10",1
2020,Jepang,"26,965.10","1,695.70",1
2021,Jepang,"22,978.40","2,540.80",1
2022,Jepang,"26,392.90","7,174.70",1
2023,Jepang,"25,278.20","4,761.90",1
